,Region,Major region,Year,variable,value
1677,Somerset,South West,2018,Admissions count: men,2210
1678,South Gloucestershire,South West,2018,Admissions count: men,1448
1679,Swindon,South West,2018,Admissions count: men,942
1680,Torbay,South West,2018,Admissions count: men,871
1681,Wiltshire,South West,2018,Admissions count: men,1837
1682,Darlington,North East,2019,Admissions count: men,295
1683,County Durham,North East,2019,Admissions count: men,1495
1684,Gateshead,North East,2019,Admissions count: men,490
1685,Hartlepool,North East,2019,Admissions count: men,415
1686,Middlesbrough,North East,2019,Admissions count: men,375
1687,Newcastle Upon Tyne,North East,2019,Admissions count: men,645
1688,North Tyneside,North East,2019,Admissions count: men,975
1689,Northumberland,North East,2019,Admissions count: men,1600
1690,Redcar And Cleveland,North East,2019,Admissions count: men,360
1691,South Tyneside,North East,2019,Admissions count: men,345
1692,Stockton-On-Tees,North East,2019,Admissions count: men,755
1693,Sunderland,North East,2019,Admissions count: men,885
1694,Blackburn With Darwen,North West,2019,Admissions count: men,1050
1695,Blackpool,North West,2019,Admissions count: men,805
1696,Bolton,North West,2019,Admissions count: men,950
1697,Bury,North West,2019,Admissions count: men,785
1698,Cheshire East,North West,2019,Admissions count: men,1950
1699,Cheshire West And Chester,North West,2019,Admissions count: men,1590
1700,Cumbria,North West,2019,Admissions count: men,1845
1701,Halton,North West,2019,Admissions count: men,670
1702,Knowsley,North West,2019,Admissions count: men,765
1703,Lancashire,North West,2019,Admissions count: men,6775
1704,Liverpool,North West,2019,Admissions count: men,2125
1705,Manchester,North West,2019,Admissions count: men,2110
1706,Oldham,North West,2019,Admissions count: men,1150
1707,Rochdale,North West,2019,Admissions count: men,990
1708,Salford,North West,2019,Admissions count: men,2170
1709,Sefton,North West,2019,Admissions count: men,1185
1710,St. Helens,North West,2019,Admissions count: men,975
1711,Stockport,North West,2019,Admissions count: men,2470
1712,Tameside,North West,2019,Admissions count: men,995
1713,Trafford,North West,2019,Admissions count: men,1170
1714,Warrington,North West,2019,Admissions count: men,900
1715,Wigan,North West,2019,Admissions count: men,3720
1716,Wirral,North West,2019,Admissions count: men,4215
1717,Yorkshire And The Humber,North West,2019,Admissions count: men,23680
1718,Barnsley,North West,2019,Admissions count: men,680
1719,Calderdale,North West,2019,Admissions count: men,795
1720,Bradford,North West,2019,Admissions count: men,3090
1721,Doncaster,North West,2019,Admissions count: men,1235
1722,East Riding Of Yorkshire,North West,2019,Admissions count: men,1605
1723,Kingston Upon Hull,North West,2019,Admissions count: men,635
1724,Kirklees,North West,2019,Admissions count: men,1840
1725,Leeds,North West,2019,Admissions count: men,2265
1726,North East Lincolnshire,North West,2019,Admissions count: men,645
1727,North Lincolnshire,North West,2019,Admissions count: men,420
1728,Rotherham,North Yorkshire,2019,Admissions count: men,1220
1729,Sheffield,North Yorkshire,2019,Admissions count: men,1520
1730,Wakefield,North Yorkshire,2019,Admissions count: men,2205
1731,York,North Yorkshire,2019,Admissions count: men,1820
1732,Derby,East Midlands,2019,Admissions count: men,1065
1733,Derbyshire,East Midlands,2019,Admissions count: men,5315
1734,Leicester,East Midlands,2019,Admissions count: men,1160
1735,Leicestershire,East Midlands,2019,Admissions count: men,3445
1736,Lincolnshire,East Midlands,2019,Admissions count: men,3335
1737,Northamptonshire,East Midlands,2019,Admissions count: men,4665
1738,Nottingham,East Midlands,2019,Admissions count: men,2520
1739,Nottinghamshire,East Midlands,2019,Admissions count: men,8000
1740,Rutland,East Midlands,2019,Admissions count: men,135
1741,Birmingham,West Midlands,2019,Admissions count: men,3145
1742,Coventry,West Midlands,2019,Admissions count: men,2195
1743,Dudley,West Midlands,2019,Admissions count: men,1645
1744,Herefordshire,West Midlands,2019,Admissions count: men,580
1745,Sandwell,West Midlands,2019,Admissions count: men,1155
1746,Shropshire,West Midlands,2019,Admissions count: men,1945
1747,Solihull,West Midlands,2019,Admissions count: men,600
1748,Staffordshire,West Midlands,2019,Admissions count: men,6335
1749,Stoke-On-Trent,West Midlands,2019,Admissions count: men,1475
1750,Telford And Wrekin,West Midlands,2019,Admissions count: men,1060
1751,Walsall,West Midlands,2019,Admissions count: men,1575
1752,Warwickshire,West Midlands,2019,Admissions count: men,4005
1753,Wolverhampton,West Midlands,2019,Admissions count: men,1765
1754,Worcestershire,West Midlands,2019,Admissions count: men,4605
1755,East Of England,West Midlands,2019,Admissions count: men,24185
1756,Bedford,West Midlands,2019,Admissions count: men,600
1757,Cambridgeshire,West Midlands,2019,Admissions count: men,2760
1758,Central Bedfordshire,West Midlands,2019,Admissions count: men,885
1759,Essex,West Midlands,2019,Admissions count: men,4645
1760,Hertfordshire,West Midlands,2019,Admissions count: men,5390
1761,Luton,West Midlands,2019,Admissions count: men,640
1762,Norfolk,West Midlands,2019,Admissions count: men,3900
1763,Peterborough,West Midlands,2019,Admissions count: men,580
1764,Southend-On-Sea,West Midlands,2019,Admissions count: men,400
1765,Suffolk,West Midlands,2019,Admissions count: men,3955
1766,Thurrock,West Midlands,2019,Admissions count: men,425
1767,City Of London,London,2019,Admissions count: men,15
1768,Barking And Dagenham,London,2019,Admissions count: men,695
1769,Barnet,London,2019,Admissions count: men,810
1770,Bexley,London,2019,Admissions count: men,860
1771,Brent,London,2019,Admissions count: men,1410
1772,Bromley,London,2019,Admissions count: men,720
1773,Camden,London,2019,Admissions count: men,475
1774,Croydon,London,2019,Admissions count: men,885
1775,Ealing,London,2019,Admissions count: men,1555
1776,Enfield,London,2019,Admissions count: men,930
1777,Greenwich,London,2019,Admissions count: men,635
1778,Hackney,London,2019,Admissions count: men,865
1779,Hammersmith And Fulham,London,2019,Admissions count: men,675
1780,Haringey,London,2019,Admissions count: men,675
1781,Harrow,London,2019,Admissions count: men,1205
1782,Havering,London,2019,Admissions count: men,1025
1783,Hillingdon,London,2019,Admissions count: men,865
1784,Hounslow,London,2019,Admissions count: men,805
1785,Islington,London,2019,Admissions count: men,590
1786,Lambeth,London,2019,Admissions count: men,805
1787,Lewisham,London,2019,Admissions count: men,530
1788,Merton,London,2019,Admissions count: men,470
1789,Newham,London,2019,Admissions count: men,710
1790,Redbridge,London,2019,Admissions count: men,785
1791,Richmond Upon Thames,London,2019,Admissions count: men,365
1792,Southwark,London,2019,Admissions count: men,930
1793,Sutton,London,2019,Admissions count: men,465
1794,Tower Hamlets,London,2019,Admissions count: men,615
1795,Waltham Forest,London,2019,Admissions count: men,660
1796,Wandsworth,London,2019,Admissions count: men,610
1797,Kensington And Chelsea,London,2019,Admissions count: men,420
1798,Kingston Upon Thames,London,2019,Admissions count: men,370
1799,Westminster,London,2019,Admissions count: men,715
1800,Bracknell Forest,South East,2019,Admissions count: men,290
1801,Brighton And Hove,South East,2019,Admissions count: men,930
1802,Buckinghamshire,South East,2019,Admissions count: men,1765
1803,East Sussex,South East,2019,Admissions count: men,2715
1804,Hampshire,South East,2019,Admissions count: men,4860
1805,Isle Of Wight,South East,2019,Admissions count: men,800
1806,Kent,South East,2019,Admissions count: men,6365
1807,Medway,South East,2019,Admissions count: men,1470
1808,Milton Keynes,South East,2019,Admissions count: men,1290
1809,Oxfordshire,South East,2019,Admissions count: men,1330
1810,Portsmouth,South East,2019,Admissions count: men,760
1811,Reading,South East,2019,Admissions count: men,225
1812,Windsor And Maidenhead,South East,2019,Admissions count: men,805
1813,Slough,South East,2019,Admissions count: men,1000
1814,Southampton,South East,2019,Admissions count: men,1810
1815,Surrey,South East,2019,Admissions count: men,2490
1816,West Berkshire,South East,2019,Admissions count: men,265
1817,Wokingham,West Sussex,2019,Admissions count: men,205
1818,Bath And North East Somerset,South West,2019,Admissions count: men,655
1819,Poole,South West,2019,Admissions count: men,805
1820,Bournemouth,South West,2019,Admissions count: men,1710
1821,Bristol,South West,2019,Admissions count: men,2230
1822,Cornwall,South West,2019,Admissions count: men,4435
1823,Devon,South West,2019,Admissions count: men,2390
1824,Dorset,South West,2019,Admissions count: men,2315
1825,Gloucestershire,South West,2019,Admissions count: men,2250
1826,Isles Of Scilly,South West,2019,Admissions count: men,10
1827,North Somerset,South West,2019,Admissions count: men,985
1828,Plymouth,South West,2019,Admissions count: men,1115
1829,Somerset,South West,2019,Admissions count: men,2275
1830,South Gloucestershire,South West,2019,Admissions count: men,1450
1831,Swindon,South West,2019,Admissions count: men,885
1832,Torbay,South West,2019,Admissions count: men,775
1833,Wiltshire,South West,2019,Admissions count: men,2200
1834,County Durham,North East,2014,Admissions count: women,1390
1835,Darlington,North East,2014,Admissions count: women,184
1836,Gateshead,North East,2014,Admissions count: women,833
1837,Hartlepool,North East,2014,Admissions count: women,321
1838,Middlesbrough,North East,2014,Admissions count: women,252
1839,Newcastle,North East,2014,Admissions count: women,1485
1840,North Tyneside,North East,2014,Admissions count: women,1719
1841,Northumberland,North East,2014,Admissions count: women,2739
1842,Redcar & Cleveland,North East,2014,Admissions count: women,275
1843,South Tyneside,North East,2014,Admissions count: women,392
1844,Stockton-On-Tees,North East,2014,Admissions count: women,534
1845,Sunderland,North East,2014,Admissions count: women,991
1846,"Ashton, Leigh & Wigan",North West,2014,Admissions count: women,1465
1847,Blackburn With Darwen,North West,2014,Admissions count: women,567
1848,Blackpool,North West,2014,Admissions count: women,360
1849,Bolton,North West,2014,Admissions count: women,532
1850,Bury,North West,2014,Admissions count: women,387
1851,Central & Eastern Cheshire,North West,2014,Admissions count: women,2050
1852,Central Lancashire,North West,2014,Admissions count: women,3019
1853,Cumbria,North West,2014,Admissions count: women,1678
1854,East Lancashire,North West,2014,Admissions count: women,1258
1855,Halton & St. Helens,North West,2014,Admissions count: women,1509
1856,"Heywood, Middleton & Rochdale",North West,2014,Admissions count: women,529
1857,Knowsley,North West,2014,Admissions count: women,970
1858,Liverpool,North West,2014,Admissions count: women,2265
1859,Manchester,North West,2014,Admissions count: women,1495
1860,North Lancashire,North West,2014,Admissions count: women,771
1861,Oldham,North West,2014,Admissions count: women,493
1862,Salford,North West,2014,Admissions count: women,1191
1863,Sefton,North West,2014,Admissions count: women,1627
1864,Stockport,North West,2014,Admissions count: women,799
1865,Tameside,North West,2014,Admissions count: women,1232
1866,Trafford,North West,2014,Admissions count: women,432
1867,Warrington,North West,2014,Admissions count: women,405
1868,Western Cheshire,North West,2014,Admissions count: women,602
1869,Wirral,North West,2014,Admissions count: women,1911
1870,Yorkshire And The Humber,North West,2014,Admissions count: women,18715
1871,Yorkshire And The Humber,North West,2014,Admissions count: women,18715
1872,Barnsley,North West,2014,Admissions count: women,499
1873,Bradford & Airedale,North West,2014,Admissions count: women,5205
1874,Calderdale,North West,2014,Admissions count: women,797
1875,Doncaster,North West,2014,Admissions count: women,662
1876,East Riding Of Yorkshire,North West,2014,Admissions count: women,531
1877,Hull,North West,2014,Admissions count: women,343
1878,Kirklees,North West,2014,Admissions count: women,1057
1879,Leeds,North West,2014,Admissions count: women,2314
1880,North East Lincolnshire,North West,2014,Admissions count: women,899
1881,North Lincolnshire,North West,2014,Admissions count: women,312
1882,North Yorkshire & York,North West,2014,Admissions count: women,1444
1883,Rotherham,North West,2014,Admissions count: women,1022
1884,Sheffield,North West,2014,Admissions count: women,3158
1885,Wakefield District,North West,2014,Admissions count: women,470
1886,Bassetlaw,East Midlands,2014,Admissions count: women,225
1887,Derby,East Midlands,2014,Admissions count: women,2337
1888,Derbyshire,East Midlands,2014,Admissions count: women,2542
1889,Leicester,East Midlands,2014,Admissions count: women,542
1890,Leicestershire,East Midlands,2014,Admissions count: women,1051
1891,Lincolnshire,East Midlands,2014,Admissions count: women,2729
1892,Northampton,East Midlands,2014,Admissions count: women,1172
1893,Nottingham,East Midlands,2014,Admissions count: women,684
1894,Nottinghamshire,East Midlands,2014,Admissions count: women,1812
1895,Birmingham East & North,West Midlands,2014,Admissions count: women,1065
1896,Coventry,West Midlands,2014,Admissions count: women,3324
1897,Dudley,West Midlands,2014,Admissions count: women,2436
1898,Heart Of Birmingham,West Midlands,2014,Admissions count: women,1550
1899,Herefordshire,West Midlands,2014,Admissions count: women,240
1900,North Staffordshire,West Midlands,2014,Admissions count: women,432
1901,Sandwell,West Midlands,2014,Admissions count: women,1778
1902,Shropshire,West Midlands,2014,Admissions count: women,906
1903,Solihull,West Midlands,2014,Admissions count: women,308
1904,South Birmingham,West Midlands,2014,Admissions count: women,2401
1905,South Staffordshire,West Midlands,2014,Admissions count: women,2231
1906,Stoke On Trent,West Midlands,2014,Admissions count: women,719
1907,Telford And Wrekin,West Midlands,2014,Admissions count: women,715
1908,Walsall,West Midlands,2014,Admissions count: women,1398
1909,Warwickshire,West Midlands,2014,Admissions count: women,2891
1910,Wolverhampton,West Midlands,2014,Admissions count: women,1288
1911,Worcestershire,West Midlands,2014,Admissions count: women,4443
1912,East Of England,West Midlands,2014,Admissions count: women,22001
1913,East Of England,West Midlands,2014,Admissions count: women,22001
1914,Bedfordshire,West Midlands,2014,Admissions count: women,1242
1915,Cambridgeshire,West Midlands,2014,Admissions count: women,1737
1916,Great Yarmouth & Waveney,West Midlands,2014,Admissions count: women,940
1917,Hertfordshire,West Midlands,2014,Admissions count: women,6132
1918,Luton,West Midlands,2014,Admissions count: women,1364
1919,Mid Essex,West Midlands,2014,Admissions count: women,891
1920,Norfolk,West Midlands,2014,Admissions count: women,2550
1921,North East Essex,West Midlands,2014,Admissions count: women,478
1922,Peterborough,West Midlands,2014,Admissions count: women,452
1923,South East Essex,West Midlands,2014,Admissions count: women,699
1924,South West Essex,West Midlands,2014,Admissions count: women,2067
1925,Suffolk,West Midlands,2014,Admissions count: women,2321
1926,West Essex,West Midlands,2014,Admissions count: women,1128
1927,Barking And Dagenham,London,2014,Admissions count: women,608
1928,Barnet,London,2014,Admissions count: women,743
1929,Bexley,London,2014,Admissions count: women,547
1930,Brent,London,2014,Admissions count: women,2654
1931,Bromley,London,2014,Admissions count: women,443
1932,Camden,London,2014,Admissions count: women,461
1933,City & Hackney,London,2014,Admissions count: women,759
1934,Croydon,London,2014,Admissions count: women,1080
1935,Ealing,London,2014,Admissions count: women,1127
1936,Enfield,London,2014,Admissions count: women,883
1937,Greenwich,London,2014,Admissions count: women,708
1938,Hammersmith And Fulham,London,2014,Admissions count: women,324
1939,Haringey,London,2014,Admissions count: women,868
1940,Harrow,London,2014,Admissions count: women,1967
1941,Havering,London,2014,Admissions count: women,535
1942,Hillingdon,London,2014,Admissions count: women,1221
1943,Hounslow,London,2014,Admissions count: women,368
1944,Islington,London,2014,Admissions count: women,782
1945,Kensington And Chelsea,London,2014,Admissions count: women,204
1946,Kingston,London,2014,Admissions count: women,269
1947,Lambeth,London,2014,Admissions count: women,723
1948,Lewisham,London,2014,Admissions count: women,533
1949,Newham,London,2014,Admissions count: women,1117
1950,Redbridge,London,2014,Admissions count: women,857
1951,Richmond Upon Thames,London,2014,Admissions count: women,176
1952,Southwark,London,2014,Admissions count: women,708
1953,Sutton,London,2014,Admissions count: women,1072
1954,Tower Hamlets,London,2014,Admissions count: women,404
1955,Waltham Forest,London,2014,Admissions count: women,1603
1956,Wandsworth,London,2014,Admissions count: women,477
1957,Westminster,London,2014,Admissions count: women,385
1958,South East Coast,South East,2014,Admissions count: women,10671
1959,Brighton And Hove,South East,2014,Admissions count: women,941
1960,East Sussex Downs & Weald,South East,2014,Admissions count: women,907
1961,Eastern & Coastal Kent,South East,2014,Admissions count: women,1217
1962,Hastings & Rother,South East,2014,Admissions count: women,659
1963,Medway,South East,2014,Admissions count: women,972
1964,Surrey,South East,2014,Admissions count: women,1561
1965,West Kent,South East,2014,Admissions count: women,1199
1966,Berkshire East,South Central,2014,Admissions count: women,1874
1967,Berkshire West,South Central,2014,Admissions count: women,1255
1968,Buckinghamshire,South Central,2014,Admissions count: women,1202
1969,Hampshire,South Central,2014,Admissions count: women,3287
1970,Isle Of Wight,South Central,2014,Admissions count: women,286
1971,Milton Keynes,South Central,2014,Admissions count: women,793
1972,Oxfordshire,South Central,2014,Admissions count: women,1745
1973,Portsmouth,South Central,2014,Admissions count: women,620
1974,Southampton,South Central,2014,Admissions count: women,1750
1975,Bath And North East Somerset,South West,2014,Admissions count: women,722
1976,Bournemouth & Poole,South West,2014,Admissions count: women,838
1977,Bristol,South West,2014,Admissions count: women,1862
1978,Cornwall & Isles Of Scilly,South West,2014,Admissions count: women,4926
1979,Devon,South West,2014,Admissions count: women,3320
1980,Dorset,South West,2014,Admissions count: women,878
1981,Gloucestershire,South West,2014,Admissions count: women,779
1982,North Somerset,South West,2014,Admissions count: women,834
1983,Plymouth,South West,2014,Admissions count: women,3316
1984,Somerset,South West,2014,Admissions count: women,2660
1985,South Gloucestershire,South West,2014,Admissions count: women,866
1986,Swindon,South West,2014,Admissions count: women,501
1987,Torbay,South West,2014,Admissions count: women,765
1988,Wiltshire,South West,2014,Admissions count: women,1819
1989,Unknown,England,2015,Admissions count: women,49
1990,Darlington,North East,2015,Admissions count: women,229
1991,Durham,North East,2015,Admissions count: women,1596
1992,Gateshead,North East,2015,Admissions count: women,923
1993,Hartlepool,North East,2015,Admissions count: women,334
1994,Middlesbrough,North East,2015,Admissions count: women,340
1995,Newcastle-Upon-Tyne,North East,2015,Admissions count: women,1605
1996,North Tyneside,North East,2015,Admissions count: women,1998
1997,Northumberland,North East,2015,Admissions count: women,2821
1998,Redcar & Cleveland,North East,2015,Admissions count: women,371
1999,South Tyneside,North East,2015,Admissions count: women,410
2000,Stockton-On-Tees,North East,2015,Admissions count: women,575
2001,Sunderland,North East,2015,Admissions count: women,1282
2002,Blackburn With Darwen,North West,2015,Admissions count: women,713
2003,Blackpool,North West,2015,Admissions count: women,420
2004,Bolton,North West,2015,Admissions count: women,679
2005,Bury,North West,2015,Admissions count: women,510
2006,Cheshire East,North West,2015,Admissions count: women,1461
2007,Cheshire West And Chester,North West,2015,Admissions count: women,2214
2008,Cumbria,North West,2015,Admissions count: women,1886
2009,Halton,North West,2015,Admissions count: women,721
2010,Knowsley,North West,2015,Admissions count: women,1099
2011,Lancashire,North West,2015,Admissions count: women,6174
2012,Liverpool,North West,2015,Admissions count: women,2521
2013,Manchester,North West,2015,Admissions count: women,1819
2014,Oldham Metropolitian,North West,2015,Admissions count: women,691
2015,Rochdale,North West,2015,Admissions count: women,756
2016,Salford,North West,2015,Admissions count: women,1640
2017,Sefton,North West,2015,Admissions count: women,1715
2018,St Helens,North West,2015,Admissions count: women,1097
2019,Stockport,North West,2015,Admissions count: women,985
2020,Tameside,North West,2015,Admissions count: women,1272
2021,Trafford,North West,2015,Admissions count: women,554
2022,Warrington,North West,2015,Admissions count: women,520
2023,Wigan,North West,2015,Admissions count: women,1257
2024,Wirral,North West,2015,Admissions count: women,5259
2025,Yorkshire And The Humber,North West,2015,Admissions count: women,25375
2026,Barnsley,North West,2015,Admissions count: women,469
2027,Calderdale,North West,2015,Admissions count: women,1032
2028,City Of Bradford,North West,2015,Admissions count: women,6555
2029,Doncaster,North West,2015,Admissions count: women,584
2030,East Riding Of Yorkshire,North West,2015,Admissions count: women,963
2031,Kingston-Upon-Hull,North West,2015,Admissions count: women,851
2032,Kirklees,North West,2015,Admissions count: women,1587
2033,Leeds,North West,2015,Admissions count: women,3934
2034,North East Lincolnshire,North West,2015,Admissions count: women,1473
2035,North Lincolnshire,North West,2015,Admissions count: women,859
2036,Rotherham,North Yorkshire,2015,Admissions count: women,1184
2037,Sheffield,North Yorkshire,2015,Admissions count: women,2314
2038,Wakefield,North Yorkshire,2015,Admissions count: women,1182
2039,York,North Yorkshire,2015,Admissions count: women,741
2040,Derby,East Midlands,2015,Admissions count: women,2173
2041,Derbyshire,East Midlands,2015,Admissions count: women,3670
2042,Leicester,East Midlands,2015,Admissions count: women,593
2043,Leicestershire,East Midlands,2015,Admissions count: women,1217
2044,Lincolnshire,East Midlands,2015,Admissions count: women,3899
2045,Northamptonshire,East Midlands,2015,Admissions count: women,2219
2046,Nottingham,East Midlands,2015,Admissions count: women,1365
2047,Nottinghamshire,East Midlands,2015,Admissions count: women,2826
2048,Rutland,East Midlands,2015,Admissions count: women,70
2049,Birmingham,West Midlands,2015,Admissions count: women,5970
2050,Coventry,West Midlands,2015,Admissions count: women,3438
2051,Dudley,West Midlands,2015,Admissions count: women,2784
2052,Herefordshire,West Midlands,2015,Admissions count: women,275
2053,Sandwell,West Midlands,2015,Admissions count: women,1724
2054,Shropshire,West Midlands,2015,Admissions count: women,1244
2055,Solihull,West Midlands,2015,Admissions count: women,509
2056,Staffordshire,West Midlands,2015,Admissions count: women,3246
2057,Stoke-On-Trent,West Midlands,2015,Admissions count: women,610
2058,Telford And Wrekin,West Midlands,2015,Admissions count: women,1056
2059,Walsall,West Midlands,2015,Admissions count: women,911
2060,Warwickshire,West Midlands,2015,Admissions count: women,3433
2061,Wolverhampton,West Midlands,2015,Admissions count: women,795
2062,Worcestershire,West Midlands,2015,Admissions count: women,5603
2063,East Of England,West Midlands,2015,Admissions count: women,25888
2064,Bedford,West Midlands,2015,Admissions count: women,410
2065,Cambridgeshire,West Midlands,2015,Admissions count: women,1768
2066,Central Bedfordshire,West Midlands,2015,Admissions count: women,1499
2067,Essex,West Midlands,2015,Admissions count: women,4359
2068,Hertfordshire,West Midlands,2015,Admissions count: women,7087
2069,Luton,West Midlands,2015,Admissions count: women,2522
2070,Norfolk,West Midlands,2015,Admissions count: women,3094
2071,Peterborough,West Midlands,2015,Admissions count: women,400
2072,Southend-On-Sea,West Midlands,2015,Admissions count: women,324
2073,Suffolk,West Midlands,2015,Admissions count: women,3422
2074,Thurrock,West Midlands,2015,Admissions count: women,1003
2075,Corporation Of The Of London,London,2015,Admissions count: women,*
2076,Barking And Dagenham,London,2015,Admissions count: women,799
2077,Barnet,London,2015,Admissions count: women,909
2078,Bexley,London,2015,Admissions count: women,590
2079,Brent,London,2015,Admissions count: women,2438
2080,Bromley,London,2015,Admissions count: women,445
2081,Camden,London,2015,Admissions count: women,627
2082,Croydon,London,2015,Admissions count: women,1335
2083,Ealing,London,2015,Admissions count: women,1474
2084,Enfield,London,2015,Admissions count: women,1202
2085,Greenwich,London,2015,Admissions count: women,784
2086,Hackney,London,2015,Admissions count: women,1061
2087,Hammersmith And Fulham,London,2015,Admissions count: women,313
2088,Haringey,London,2015,Admissions count: women,1158
2089,Harrow,London,2015,Admissions count: women,1793
2090,Havering,London,2015,Admissions count: women,837
2091,Hillingdon,London,2015,Admissions count: women,1608
2092,Hounslow,London,2015,Admissions count: women,468
2093,Islington,London,2015,Admissions count: women,1078
2094,Lambeth,London,2015,Admissions count: women,839
2095,Lewisham,London,2015,Admissions count: women,558
2096,Merton,London,2015,Admissions count: women,446
2097,Newham,London,2015,Admissions count: women,1084
2098,Redbridge,London,2015,Admissions count: women,962
2099,Richmond Upon Thames,London,2015,Admissions count: women,189
2100,Southwark,London,2015,Admissions count: women,921
2101,Sutton,London,2015,Admissions count: women,669
2102,Tower Hamlets,London,2015,Admissions count: women,621
2103,Waltham Forest,London,2015,Admissions count: women,1457
2104,Wandsworth,London,2015,Admissions count: women,511
2105,Royal Of Kensington And Chelsea,London,2015,Admissions count: women,271
2106,Royal Of Kingston-Upon-Thames,London,2015,Admissions count: women,209
2107,Westminster,London,2015,Admissions count: women,590
2108,Bracknell Forest,South East,2015,Admissions count: women,478
2109,Brighton And Hove,South East,2015,Admissions count: women,976
2110,Buckinghamshire,South East,2015,Admissions count: women,1338
2111,East Sussex,South East,2015,Admissions count: women,1778
2112,Hampshire,South East,2015,Admissions count: women,4456
2113,Isle Of Wight,South East,2015,Admissions count: women,492
2114,Kent,South East,2015,Admissions count: women,4745
2115,Medway,South East,2015,Admissions count: women,2266
2116,Milton Keynes,South East,2015,Admissions count: women,1152
2117,Oxfordshire,South East,2015,Admissions count: women,1970
2118,Portsmouth,South East,2015,Admissions count: women,649
2119,Reading,South East,2015,Admissions count: women,779
2120,Royal Of Windsor & Maidenhead,South East,2015,Admissions count: women,794
2121,Slough,South East,2015,Admissions count: women,1228
2122,Southampton,South East,2015,Admissions count: women,2133
2123,Surrey,South East,2015,Admissions count: women,2222
2124,West Berkshire District,South East,2015,Admissions count: women,603
2125,Wokingham,West Sussex,2015,Admissions count: women,555
2126,Bath And North East Somerset,South West,2015,Admissions count: women,792
2127,Borough Of Poole,South West,2015,Admissions count: women,966
2128,Bournemouth,South West,2015,Admissions count: women,1046
2129,Bristol,South West,2015,Admissions count: women,2950
2130,Cornwall,South West,2015,Admissions count: women,6553
2131,Devon,South West,2015,Admissions count: women,3136
2132,Dorset,South West,2015,Admissions count: women,2046
2133,Gloucestershire,South West,2015,Admissions count: women,802
2134,North Somerset District,South West,2015,Admissions count: women,1067
2135,Plymouth,South West,2015,Admissions count: women,3272
2136,Somerset,South West,2015,Admissions count: women,3027
2137,South Gloucestershire,South West,2015,Admissions count: women,1348
2138,Swindon,South West,2015,Admissions count: women,770
2139,The Of The Isles Of Scilly,South West,2015,Admissions count: women,17
2140,Torbay,South West,2015,Admissions count: women,1215
2141,Wiltshire,South West,2015,Admissions count: women,2607
2142,Unknown,England,2016,Admissions count: women,68
2143,Darlington,North East,2016,Admissions count: women,204
2144,Durham,North East,2016,Admissions count: women,1561
2145,Gateshead,North East,2016,Admissions count: women,1039
2146,Hartlepool,North East,2016,Admissions count: women,326
2147,Middlesbrough,North East,2016,Admissions count: women,423
2148,Newcastle-Upon-Tyne,North East,2016,Admissions count: women,1608
2149,North Tyneside,North East,2016,Admissions count: women,1965
2150,Northumberland,North East,2016,Admissions count: women,2832
2151,Redcar & Cleveland,North East,2016,Admissions count: women,409
2152,South Tyneside,North East,2016,Admissions count: women,494
2153,Stockton-On-Tees,North East,2016,Admissions count: women,647
2154,Sunderland,North East,2016,Admissions count: women,1332
2155,Blackburn With Darwen,North West,2016,Admissions count: women,1146
2156,Blackpool,North West,2016,Admissions count: women,459
2157,Bolton,North West,2016,Admissions count: women,1044
2158,Bury,North West,2016,Admissions count: women,651
2159,Cheshire East,North West,2016,Admissions count: women,1574
2160,Cheshire West And Chester,North West,2016,Admissions count: women,3090
2161,Cumbria,North West,2016,Admissions count: women,2286
2162,Halton,North West,2016,Admissions count: women,850
2163,Knowsley,North West,2016,Admissions count: women,1217
2164,Lancashire,North West,2016,Admissions count: women,7541
2165,Liverpool,North West,2016,Admissions count: women,2383
2166,Manchester,North West,2016,Admissions count: women,2971
2167,Oldham Metropolitian,North West,2016,Admissions count: women,844
2168,Rochdale,North West,2016,Admissions count: women,876
2169,Salford,North West,2016,Admissions count: women,2921
2170,Sefton,North West,2016,Admissions count: women,1839
2171,St Helens,North West,2016,Admissions count: women,1306
2172,Stockport,North West,2016,Admissions count: women,1445
2173,Tameside,North West,2016,Admissions count: women,1491
2174,Trafford,North West,2016,Admissions count: women,962
2175,Warrington,North West,2016,Admissions count: women,664
2176,Wigan,North West,2016,Admissions count: women,2325
2177,Wirral,North West,2016,Admissions count: women,5769
2178,Yorkshire And The Humber,North West,2016,Admissions count: women,33132
2179,Barnsley,North West,2016,Admissions count: women,506
2180,Calderdale,North West,2016,Admissions count: women,988
2181,City Of Bradford,North West,2016,Admissions count: women,6989
2182,Doncaster,North West,2016,Admissions count: women,736
2183,East Riding Of Yorkshire,North West,2016,Admissions count: women,1221
2184,Kingston-Upon-Hull,North West,2016,Admissions count: women,991
2185,Kirklees,North West,2016,Admissions count: women,2659
2186,Leeds,North West,2016,Admissions count: women,4715
2187,North East Lincolnshire,North West,2016,Admissions count: women,1552
2188,North Lincolnshire,North West,2016,Admissions count: women,806
2189,Rotherham,North Yorkshire,2016,Admissions count: women,1468
2190,Sheffield,North Yorkshire,2016,Admissions count: women,2906
2191,Wakefield,North Yorkshire,2016,Admissions count: women,3470
2192,York,North Yorkshire,2016,Admissions count: women,1140
2193,Derby,East Midlands,2016,Admissions count: women,2333
2194,Derbyshire,East Midlands,2016,Admissions count: women,4941
