,Region,Major region,Year,variable,quantity
2052,Staffordshire,West Midlands,2015,Admissions count: women,3246.0
2053,Stoke-On-Trent,West Midlands,2015,Admissions count: women,610.0
2054,Telford And Wrekin,West Midlands,2015,Admissions count: women,1056.0
2055,Walsall,West Midlands,2015,Admissions count: women,911.0
2056,Warwickshire,West Midlands,2015,Admissions count: women,3433.0
2057,Wolverhampton,West Midlands,2015,Admissions count: women,795.0
2058,Worcestershire,West Midlands,2015,Admissions count: women,5603.0
2059,East Of England,West Midlands,2015,Admissions count: women,25888.0
2060,Bedford,West Midlands,2015,Admissions count: women,410.0
2089,Lambeth,London,2015,Admissions count: women,839.0
2035,York,North Yorkshire,2015,Admissions count: women,741.0
2090,Lewisham,London,2015,Admissions count: women,558.0
2092,Newham,London,2015,Admissions count: women,1084.0
2122,Borough Of Poole,South West,2015,Admissions count: women,966.0
2123,Bournemouth,South West,2015,Admissions count: women,1046.0
2124,Bristol,South West,2015,Admissions count: women,2950.0
2125,Cornwall,South West,2015,Admissions count: women,6553.0
2126,Devon,South West,2015,Admissions count: women,3136.0
2127,Dorset,South West,2015,Admissions count: women,2046.0
2128,Gloucestershire,South West,2015,Admissions count: women,802.0
2129,North Somerset District,South West,2015,Admissions count: women,1067.0
2130,Plymouth,South West,2015,Admissions count: women,3272.0
2131,Somerset,South West,2015,Admissions count: women,3027.0
2132,South Gloucestershire,South West,2015,Admissions count: women,1348.0
2121,Bath And North East Somerset,South West,2015,Admissions count: women,792.0
2133,Swindon,South West,2015,Admissions count: women,770.0
2135,Torbay,South West,2015,Admissions count: women,1215.0
2136,Wiltshire,South West,2015,Admissions count: women,2607.0
4881,Wiltshire,South West,2015,"Admissions per 100,000 population: women",1074.9407277600246
4880,Torbay,South West,2015,"Admissions per 100,000 population: women",1779.098882755187
306,Wiltshire,South West,2015,Total admissions,3946.0
305,Torbay,South West,2015,Total admissions,1872.0
304,The Of The Isles Of Scilly,South West,2015,Total admissions,27.0
298,Gloucestershire,South West,2015,Total admissions,1477.0
299,North Somerset District,South West,2015,Total admissions,1695.0
300,Plymouth,South West,2015,Total admissions,5005.0
301,Somerset,South West,2015,Total admissions,4234.0
2134,The Of The Isles Of Scilly,South West,2015,Admissions count: women,17.0
2120,Wokingham,West Sussex,2015,Admissions count: women,555.0
2119,West Berkshire District,South East,2015,Admissions count: women,603.0
2118,Surrey,South East,2015,Admissions count: women,2222.0
2093,Redbridge,London,2015,Admissions count: women,962.0
2094,Richmond Upon Thames,London,2015,Admissions count: women,189.0
2095,Southwark,London,2015,Admissions count: women,921.0
2096,Sutton,London,2015,Admissions count: women,669.0
2097,Tower Hamlets,London,2015,Admissions count: women,621.0
2098,Waltham Forest,London,2015,Admissions count: women,1457.0
2099,Wandsworth,London,2015,Admissions count: women,511.0
2100,Royal Of Kensington And Chelsea,London,2015,Admissions count: women,271.0
2101,Royal Of Kingston-Upon-Thames,London,2015,Admissions count: women,209.0
2102,Westminster,London,2015,Admissions count: women,590.0
2103,Bracknell Forest,South East,2015,Admissions count: women,478.0
2104,Brighton And Hove,South East,2015,Admissions count: women,976.0
2105,Buckinghamshire,South East,2015,Admissions count: women,1338.0
2106,East Sussex,South East,2015,Admissions count: women,1778.0
2107,Hampshire,South East,2015,Admissions count: women,4456.0
2108,Isle Of Wight,South East,2015,Admissions count: women,492.0
2109,Kent,South East,2015,Admissions count: women,4745.0
2110,Medway,South East,2015,Admissions count: women,2266.0
2111,Milton Keynes,South East,2015,Admissions count: women,1152.0
2112,Oxfordshire,South East,2015,Admissions count: women,1970.0
2113,Portsmouth,South East,2015,Admissions count: women,649.0
2114,Reading,South East,2015,Admissions count: women,779.0
2115,Royal Of Windsor & Maidenhead,South East,2015,Admissions count: women,794.0
2116,Slough,South East,2015,Admissions count: women,1228.0
2117,Southampton,South East,2015,Admissions count: women,2133.0
2091,Merton,London,2015,Admissions count: women,446.0
232,Central Bedfordshire,West Midlands,2015,Total admissions,2275.0
2034,Wakefield,North Yorkshire,2015,Admissions count: women,1182.0
2032,Rotherham,North Yorkshire,2015,Admissions count: women,1184.0
263,Redbridge,London,2015,Total admissions,1510.0
264,Richmond Upon Thames,London,2015,Total admissions,328.0
265,Southwark,London,2015,Total admissions,1350.0
266,Sutton,London,2015,Total admissions,934.0
267,Tower Hamlets,London,2015,Total admissions,893.0
268,Waltham Forest,London,2015,Total admissions,2251.0
269,Wandsworth,London,2015,Total admissions,801.0
270,Royal Of Kensington And Chelsea,London,2015,Total admissions,394.0
271,Royal Of Kingston-Upon-Thames,London,2015,Total admissions,357.0
272,Westminster,London,2015,Total admissions,839.0
273,Bracknell Forest,South East,2015,Total admissions,812.0
262,Newham,London,2015,Total admissions,1598.0
274,Brighton And Hove,South East,2015,Total admissions,1501.0
276,East Sussex,South East,2015,Total admissions,2921.0
277,Hampshire,South East,2015,Total admissions,6775.0
278,Isle Of Wight,South East,2015,Total admissions,824.0
279,Kent,South East,2015,Total admissions,7824.0
280,Medway,South East,2015,Total admissions,3363.0
281,Milton Keynes,South East,2015,Total admissions,1641.0
282,Oxfordshire,South East,2015,Total admissions,2718.0
283,Portsmouth,South East,2015,Total admissions,1009.0
284,Reading,South East,2015,Total admissions,1162.0
285,Royal Of Windsor & Maidenhead,South East,2015,Total admissions,1320.0
286,Slough,South East,2015,Total admissions,1806.0
275,Buckinghamshire,South East,2015,Total admissions,2511.0
261,Merton,London,2015,Total admissions,702.0
260,Lewisham,London,2015,Total admissions,829.0
259,Lambeth,London,2015,Total admissions,1216.0
234,Hertfordshire,West Midlands,2015,Total admissions,10970.0
235,Luton,West Midlands,2015,Total admissions,3429.0
236,Norfolk,West Midlands,2015,Total admissions,4957.0
237,Peterborough,West Midlands,2015,Total admissions,758.0
238,Southend-On-Sea,West Midlands,2015,Total admissions,547.0
239,Suffolk,West Midlands,2015,Total admissions,5399.0
240,Thurrock,West Midlands,2015,Total admissions,1519.0
241,Barking And Dagenham,London,2015,Total admissions,1197.0
242,Barnet,London,2015,Total admissions,1442.0
243,Bexley,London,2015,Total admissions,981.0
244,Brent,London,2015,Total admissions,3467.0
245,Bromley,London,2015,Total admissions,776.0
246,Camden,London,2015,Total admissions,964.0
247,Croydon,London,2015,Total admissions,1959.0
248,Ealing,London,2015,Total admissions,2297.0
249,Enfield,London,2015,Total admissions,2059.0
250,Greenwich,London,2015,Total admissions,1144.0
251,Hackney,London,2015,Total admissions,1552.0
252,Hammersmith And Fulham,London,2015,Total admissions,560.0
253,Haringey,London,2015,Total admissions,1656.0
254,Harrow,London,2015,Total admissions,2563.0
255,Havering,London,2015,Total admissions,1307.0
256,Hillingdon,London,2015,Total admissions,2266.0
257,Hounslow,London,2015,Total admissions,762.0
258,Islington,London,2015,Total admissions,1548.0
287,Southampton,South East,2015,Total admissions,3201.0
2033,Sheffield,North Yorkshire,2015,Admissions count: women,2314.0
288,Surrey,South East,2015,Total admissions,3142.0
290,Wokingham,West Sussex,2015,Total admissions,870.0
2008,Liverpool,North West,2015,Admissions count: women,2521.0
2009,Manchester,North West,2015,Admissions count: women,1819.0
2010,Oldham Metropolitian,North West,2015,Admissions count: women,691.0
2011,Rochdale,North West,2015,Admissions count: women,756.0
2012,Salford,North West,2015,Admissions count: women,1640.0
2013,Sefton,North West,2015,Admissions count: women,1715.0
2014,St Helens,North West,2015,Admissions count: women,1097.0
2015,Stockport,North West,2015,Admissions count: women,985.0
2016,Tameside,North West,2015,Admissions count: women,1272.0
2017,Trafford,North West,2015,Admissions count: women,554.0
2018,Warrington,North West,2015,Admissions count: women,520.0
2007,Lancashire,North West,2015,Admissions count: women,6174.0
2019,Wigan,North West,2015,Admissions count: women,1257.0
2021,Yorkshire And The Humber,North West,2015,Admissions count: women,25375.0
2022,Barnsley,North West,2015,Admissions count: women,469.0
2023,Calderdale,North West,2015,Admissions count: women,1032.0
2024,City Of Bradford,North West,2015,Admissions count: women,6555.0
2025,Doncaster,North West,2015,Admissions count: women,584.0
2026,East Riding Of Yorkshire,North West,2015,Admissions count: women,963.0
2027,Kingston-Upon-Hull,North West,2015,Admissions count: women,851.0
2028,Kirklees,North West,2015,Admissions count: women,1587.0
2029,Leeds,North West,2015,Admissions count: women,3934.0
2030,North East Lincolnshire,North West,2015,Admissions count: women,1473.0
2031,North Lincolnshire,North West,2015,Admissions count: women,859.0
2020,Wirral,North West,2015,Admissions count: women,5259.0
2006,Knowsley,North West,2015,Admissions count: women,1099.0
2005,Halton,North West,2015,Admissions count: women,721.0
2004,Cumbria,North West,2015,Admissions count: women,1886.0
291,Bath And North East Somerset,South West,2015,Total admissions,1200.0
292,Borough Of Poole,South West,2015,Total admissions,1377.0
293,Bournemouth,South West,2015,Total admissions,1608.0
294,Bristol,South West,2015,Total admissions,4495.0
295,Cornwall,South West,2015,Total admissions,9613.0
296,Devon,South West,2015,Total admissions,4991.0
297,Dorset,South West,2015,Total admissions,3154.0
1986,Darlington,North East,2015,Admissions count: women,229.0
1987,Durham,North East,2015,Admissions count: women,1596.0
1988,Gateshead,North East,2015,Admissions count: women,923.0
1989,Hartlepool,North East,2015,Admissions count: women,334.0
1990,Middlesbrough,North East,2015,Admissions count: women,340.0
1991,Newcastle-Upon-Tyne,North East,2015,Admissions count: women,1605.0
1992,North Tyneside,North East,2015,Admissions count: women,1998.0
1993,Northumberland,North East,2015,Admissions count: women,2821.0
1994,Redcar And Cleveland,North East,2015,Admissions count: women,371.0
1995,South Tyneside,North East,2015,Admissions count: women,410.0
3966,Wiltshire,South West,2015,"Admissions per 100,000 population: men",564.7191797865117
1997,Sunderland,North East,2015,Admissions count: women,1282.0
1998,Blackburn With Darwen,North West,2015,Admissions count: women,713.0
1999,Blackpool,North West,2015,Admissions count: women,420.0
2000,Bolton,North West,2015,Admissions count: women,679.0
2001,Bury,North West,2015,Admissions count: women,510.0
2002,Cheshire East,North West,2015,Admissions count: women,1461.0
2003,Cheshire West And Chester,North West,2015,Admissions count: women,2214.0
289,West Berkshire District,South East,2015,Total admissions,908.0
302,South Gloucestershire,South West,2015,Total admissions,2209.0
303,Swindon,South West,2015,Total admissions,1195.0
3039,Bristol,South West,2015,"Admissions per 100,000 population",1027.4473590374225
2983,Southend-On-Sea,West Midlands,2015,"Admissions per 100,000 population",311.15257283928145
2984,Suffolk,West Midlands,2015,"Admissions per 100,000 population",733.6614585173488
2985,Thurrock,West Midlands,2015,"Admissions per 100,000 population",944.3639686911326
2986,Barking And Dagenham,London,2015,"Admissions per 100,000 population",615.8928130402568
2987,Barnet,London,2015,"Admissions per 100,000 population",390.692734524016
2988,Bexley,London,2015,"Admissions per 100,000 population",414.4714327360607
2982,Peterborough,West Midlands,2015,"Admissions per 100,000 population",402.3931242800189
2989,Brent,London,2015,"Admissions per 100,000 population",1092.7807756316506
2991,Camden,London,2015,"Admissions per 100,000 population",419.643129214388
2992,Croydon,London,2015,"Admissions per 100,000 population",525.5505000643859
2993,Ealing,London,2015,"Admissions per 100,000 population",670.6686832470058
2994,Enfield,London,2015,"Admissions per 100,000 population",642.3855935904955
2995,Greenwich,London,2015,"Admissions per 100,000 population",433.3202024181085
2996,Hackney,London,2015,"Admissions per 100,000 population",603.0017989035624
2990,Bromley,London,2015,"Admissions per 100,000 population",244.1026867023803
2981,Norfolk,West Midlands,2015,"Admissions per 100,000 population",569.6745143918376
2980,Luton,West Midlands,2015,"Admissions per 100,000 population",1648.6448802580906
2979,Hertfordshire,West Midlands,2015,"Admissions per 100,000 population",961.6851318394047
2964,Sandwell,West Midlands,2015,"Admissions per 100,000 population",781.9832086762596
2965,Shropshire,West Midlands,2015,"Admissions per 100,000 population",555.1468562743261
2966,Solihull,West Midlands,2015,"Admissions per 100,000 population",342.3329391317671
2967,Staffordshire,West Midlands,2015,"Admissions per 100,000 population",560.4388295544844
2968,Stoke-On-Trent,West Midlands,2015,"Admissions per 100,000 population",342.8886570993538
2969,Telford And Wrekin,West Midlands,2015,"Admissions per 100,000 population",777.0759622919288
2970,Walsall,West Midlands,2015,"Admissions per 100,000 population",521.3825639970458
2971,Warwickshire,West Midlands,2015,"Admissions per 100,000 population",975.7093209945164
2972,Wolverhampton,West Midlands,2015,"Admissions per 100,000 population",511.6136700628486
2973,Worcestershire,West Midlands,2015,"Admissions per 100,000 population",1543.2530305784314
2974,East Of England,West Midlands,2015,"Admissions per 100,000 population",688.4084076216177
2975,Bedford,West Midlands,2015,"Admissions per 100,000 population",424.45873765351774
2976,Cambridgeshire,West Midlands,2015,"Admissions per 100,000 population",537.4192170480703
2977,Central Bedfordshire,West Midlands,2015,"Admissions per 100,000 population",860.0223794834574
2978,Essex,West Midlands,2015,"Admissions per 100,000 population",497.9507979709193
2997,Hammersmith And Fulham,London,2015,"Admissions per 100,000 population",313.4006771693203
2963,Herefordshire,West Midlands,2015,"Admissions per 100,000 population",302.54665828349107
2998,Haringey,London,2015,"Admissions per 100,000 population",628.7350124911726
3000,Havering,London,2015,"Admissions per 100,000 population",539.9041639127561
3020,Buckinghamshire,South East,2015,"Admissions per 100,000 population",486.5373883928571
3021,East Sussex,South East,2015,"Admissions per 100,000 population",546.5922657475085
3022,Hampshire,South East,2015,"Admissions per 100,000 population",506.4549647537246
3023,Isle Of Wight,South East,2015,"Admissions per 100,000 population",595.4058370004263
3024,Kent,South East,2015,"Admissions per 100,000 population",523.8658946161798
3025,Medway,South East,2015,"Admissions per 100,000 population",1240.4787812840043
3019,Brighton And Hove,South East,2015,"Admissions per 100,000 population",539.7106201817973
3026,Milton Keynes,South East,2015,"Admissions per 100,000 population",641.7877759179012
3028,Portsmouth,South East,2015,"Admissions per 100,000 population",486.3588161573315
3029,Reading,South East,2015,"Admissions per 100,000 population",729.6840756811745
3030,Royal Of Windsor & Maidenhead,South East,2015,"Admissions per 100,000 population",902.0398400929374
3031,Slough,South East,2015,"Admissions per 100,000 population",1262.7251370399374
3032,Southampton,South East,2015,"Admissions per 100,000 population",1321.9570415584308
3033,Surrey,South East,2015,"Admissions per 100,000 population",272.7160680279903
3027,Oxfordshire,South East,2015,"Admissions per 100,000 population",408.057866749139
3018,Bracknell Forest,South East,2015,"Admissions per 100,000 population",696.5950912350837
3017,Westminster,London,2015,"Admissions per 100,000 population",369.86259097782147
3016,Royal Of Kingston-Upon-Thames,London,2015,"Admissions per 100,000 population",214.0377593783912
3001,Hillingdon,London,2015,"Admissions per 100,000 population",790.081100116455
3002,Hounslow,London,2015,"Admissions per 100,000 population",290.38859481644926
3003,Islington,London,2015,"Admissions per 100,000 population",717.7732337353419
3004,Lambeth,London,2015,"Admissions per 100,000 population",386.9629139325743
3005,Lewisham,London,2015,"Admissions per 100,000 population",289.6778251450136
3006,Merton,London,2015,"Admissions per 100,000 population",345.43334169852824
3007,Newham,London,2015,"Admissions per 100,000 population",502.1572650969277
3008,Redbridge,London,2015,"Admissions per 100,000 population",523.8108453127602
3009,Richmond Upon Thames,London,2015,"Admissions per 100,000 population",171.4002037990228
3010,Southwark,London,2015,"Admissions per 100,000 population",452.31585718880666
3011,Sutton,London,2015,"Admissions per 100,000 population",476.7397939912411
3012,Tower Hamlets,London,2015,"Admissions per 100,000 population",327.2380812781707
3013,Waltham Forest,London,2015,"Admissions per 100,000 population",846.8869099350255
3014,Wandsworth,London,2015,"Admissions per 100,000 population",257.9577219853405
3015,Royal Of Kensington And Chelsea,London,2015,"Admissions per 100,000 population",253.22313199737778
2999,Harrow,London,2015,"Admissions per 100,000 population",1053.12032608517
2962,Dudley,West Midlands,2015,"Admissions per 100,000 population",1209.5017285411238
2961,Coventry,West Midlands,2015,"Admissions per 100,000 population",1488.4327339983627
2960,Birmingham,West Midlands,2015,"Admissions per 100,000 population",701.344831690057
2908,Northumberland,North East,2015,"Admissions per 100,000 population",1413.2093753760219
2909,Redcar And Cleveland,North East,2015,"Admissions per 100,000 population",400.9040720293453
2910,South Tyneside,North East,2015,"Admissions per 100,000 population",428.8811386558582
2911,Stockton-On-Tees,North East,2015,"Admissions per 100,000 population",433.75639247189383
2912,Sunderland,North East,2015,"Admissions per 100,000 population",635.3230947551434
2913,Blackburn With Darwen,North West,2015,"Admissions per 100,000 population",754.5684641953193
2907,North Tyneside,North East,2015,"Admissions per 100,000 population",1445.4469903834738
2914,Blackpool,North West,2015,"Admissions per 100,000 population",497.1711456859972
2916,Bury,North West,2015,"Admissions per 100,000 population",481.43164260401977
2917,Cheshire East,North West,2015,"Admissions per 100,000 population",520.2478086003214
2918,Cheshire West And Chester,North West,2015,"Admissions per 100,000 population",943.1283343302339
2919,Cumbria,North West,2015,"Admissions per 100,000 population",552.1312265344229
2920,Halton,North West,2015,"Admissions per 100,000 population",919.26649202191
2921,Knowsley,North West,2015,"Admissions per 100,000 population",1141.1086620210012
2915,Bolton,North West,2015,"Admissions per 100,000 population",419.55744723395594
2906,Newcastle-Upon-Tyne,North East,2015,"Admissions per 100,000 population",833.6209691758972
2905,Middlesbrough,North East,2015,"Admissions per 100,000 population",363.46886043515497
2904,Hartlepool,North East,2015,"Admissions per 100,000 population",546.0529865645066
2903,Gateshead,North East,2015,"Admissions per 100,000 population",681.5068150681507
4879,The Of The Isles Of Scilly,South West,2015,"Admissions per 100,000 population: women",1521.933751119069
4878,Swindon,South West,2015,"Admissions per 100,000 population: women",718.062536719107
4877,South Gloucestershire,South West,2015,"Admissions per 100,000 population: women",993.3164833059459
4876,Somerset,South West,2015,"Admissions per 100,000 population: women",1098.5581197852966
4875,Plymouth,South West,2015,"Admissions per 100,000 population: women",2504.4969191319988
4874,North Somerset District,South West,2015,"Admissions per 100,000 population: women",1007.4781886165351
4873,Gloucestershire,South West,2015,"Admissions per 100,000 population: women",259.87997563220176
4872,Dorset,South West,2015,"Admissions per 100,000 population: women",959.3787951965414
4871,Devon,South West,2015,"Admissions per 100,000 population: women",805.5297976671488
4870,Cornwall,South West,2015,"Admissions per 100,000 population: women",2352.480820801488
4869,Bristol,South West,2015,"Admissions per 100,000 population: women",1347.1119290186175
4868,Bournemouth,South West,2015,"Admissions per 100,000 population: women",1113.1922864075602
4867,Borough Of Poole,South West,2015,"Admissions per 100,000 population: women",1272.475795297372
4866,Bath And North East Somerset,South West,2015,"Admissions per 100,000 population: women",864.1854070509673
2922,Lancashire,North West,2015,"Admissions per 100,000 population",792.1523698473657
2923,Liverpool,North West,2015,"Admissions per 100,000 population",811.419346616254
2924,Manchester,North West,2015,"Admissions per 100,000 population",529.1426994053462
2925,Oldham Metropolitian,North West,2015,"Admissions per 100,000 population",566.1821637221088
2945,North East Lincolnshire,North West,2015,"Admissions per 100,000 population",1229.4543475132486
2946,North Lincolnshire,North West,2015,"Admissions per 100,000 population",658.9239156198151
2947,Rotherham,North Yorkshire,2015,"Admissions per 100,000 population",657.159755536571
2948,Sheffield,North Yorkshire,2015,"Admissions per 100,000 population",542.9533017309873
2949,Wakefield,North Yorkshire,2015,"Admissions per 100,000 population",602.9577686922975
2950,York,North Yorkshire,2015,"Admissions per 100,000 population",522.1480687437324
2951,Derby,East Midlands,2015,"Admissions per 100,000 population",944.6232047187409
2952,Derbyshire,East Midlands,2015,"Admissions per 100,000 population",628.6075036075035
2953,Leicester,East Midlands,2015,"Admissions per 100,000 population",285.49003630786194
2954,Leicestershire,East Midlands,2015,"Admissions per 100,000 population",311.6804595095038
2955,Lincolnshire,East Midlands,2015,"Admissions per 100,000 population",793.7022829638362
2956,Northamptonshire,East Midlands,2015,"Admissions per 100,000 population",497.2779902836918
2957,Nottingham,East Midlands,2015,"Admissions per 100,000 population",628.6252923558006
2958,Nottinghamshire,East Midlands,2015,"Admissions per 100,000 population",543.0687150220543
2959,Rutland,East Midlands,2015,"Admissions per 100,000 population",321.7571664096155
2944,Leeds,North West,2015,"Admissions per 100,000 population",668.9595669491425
3034,West Berkshire District,South East,2015,"Admissions per 100,000 population",584.328665568369
2943,Kirklees,North West,2015,"Admissions per 100,000 population",537.7335802128986
2941,East Riding Of Yorkshire,North West,2015,"Admissions per 100,000 population",425.28875886514265
2926,Rochdale,North West,2015,"Admissions per 100,000 population",632.1893267961531
2927,Salford,North West,2015,"Admissions per 100,000 population",1086.5517775183775
2928,Sefton,North West,2015,"Admissions per 100,000 population",978.0130084514673
2929,St Helens,North West,2015,"Admissions per 100,000 population",973.2097763603656
2930,Stockport,North West,2015,"Admissions per 100,000 population",536.0801594206965
2931,Tameside,North West,2015,"Admissions per 100,000 population",821.4073627474535
2932,Trafford,North West,2015,"Admissions per 100,000 population",372.3189343945364
2933,Warrington,North West,2015,"Admissions per 100,000 population",475.84455094608234
2934,Wigan,North West,2015,"Admissions per 100,000 population",548.6565109950265
2935,Wirral,North West,2015,"Admissions per 100,000 population",2777.127335737367
2936,Yorkshire And The Humber,North West,2015,"Admissions per 100,000 population",683.9449876445142
2937,Barnsley,North West,2015,"Admissions per 100,000 population",342.72577272360945
2938,Calderdale,North West,2015,"Admissions per 100,000 population",690.0729325676625
2939,City Of Bradford,North West,2015,"Admissions per 100,000 population",1863.5215979664458
2940,Doncaster,North West,2015,"Admissions per 100,000 population",314.5358373240411
2942,Kingston-Upon-Hull,North West,2015,"Admissions per 100,000 population",434.41296018075303
3035,Wokingham,West Sussex,2015,"Admissions per 100,000 population",551.1003002546463
3036,Bath And North East Somerset,South West,2015,"Admissions per 100,000 population",666.3076009039573
3037,Borough Of Poole,South West,2015,"Admissions per 100,000 population",924.1052553872585
1146,Cambridgeshire,West Midlands,2015,Admissions count: men,1629.0
1145,Bedford,West Midlands,2015,Admissions count: men,275.0
1144,East Of England,West Midlands,2015,Admissions count: men,15096.0
1143,Worcestershire,West Midlands,2015,Admissions count: men,3226.0
1142,Wolverhampton,West Midlands,2015,Admissions count: men,492.0
1141,Warwickshire,West Midlands,2015,Admissions count: men,1921.0
1147,Central Bedfordshire,West Midlands,2015,Admissions count: men,775.0
1140,Walsall,West Midlands,2015,Admissions count: men,508.0
1138,Stoke-On-Trent,West Midlands,2015,Admissions count: men,248.0
1137,Staffordshire,West Midlands,2015,Admissions count: men,1557.0
1136,Solihull,West Midlands,2015,Admissions count: men,206.0
1135,Shropshire,West Midlands,2015,Admissions count: men,469.0
1134,Sandwell,West Midlands,2015,Admissions count: men,734.0
1133,Herefordshire,West Midlands,2015,Admissions count: men,288.0
1139,Telford And Wrekin,West Midlands,2015,Admissions count: men,253.0
1148,Essex,West Midlands,2015,Admissions count: men,2694.0
1149,Hertfordshire,West Midlands,2015,Admissions count: men,3880.0
1150,Luton,West Midlands,2015,Admissions count: men,907.0
1164,Enfield,London,2015,Admissions count: men,857.0
1163,Ealing,London,2015,Admissions count: men,823.0
1162,Croydon,London,2015,Admissions count: men,623.0
1092,Lancashire,North West,2015,Admissions count: men,3170.0
1161,Camden,London,2015,Admissions count: men,337.0
1160,Bromley,London,2015,Admissions count: men,331.0
1159,Brent,London,2015,Admissions count: men,1027.0
1158,Bexley,London,2015,Admissions count: men,391.0
1157,Barnet,London,2015,Admissions count: men,533.0
1156,Barking And Dagenham,London,2015,Admissions count: men,398.0
1155,Thurrock,West Midlands,2015,Admissions count: men,516.0
1154,Suffolk,West Midlands,2015,Admissions count: men,1977.0
1153,Southend-On-Sea,West Midlands,2015,Admissions count: men,222.0
1152,Peterborough,West Midlands,2015,Admissions count: men,358.0
1151,Norfolk,West Midlands,2015,Admissions count: men,1863.0
1132,Dudley,West Midlands,2015,Admissions count: men,1019.0
1131,Coventry,West Midlands,2015,Admissions count: men,1471.0
1130,Birmingham,West Midlands,2015,Admissions count: men,1691.0
1129,Rutland,East Midlands,2015,Admissions count: men,51.0
1109,City Of Bradford,North West,2015,Admissions count: men,3254.0
1108,Calderdale,North West,2015,Admissions count: men,392.0
1107,Barnsley,North West,2015,Admissions count: men,339.0
1106,Yorkshire And The Humber,North West,2015,Admissions count: men,11130.0
1105,Wirral,North West,2015,Admissions count: men,3636.0
1104,Wigan,North West,2015,Admissions count: men,497.0
1103,Warrington,North West,2015,Admissions count: men,456.0
1102,Trafford,North West,2015,Admissions count: men,303.0
1101,Tameside,North West,2015,Admissions count: men,540.0
1100,Stockport,North West,2015,Admissions count: men,543.0
1099,St Helens,North West,2015,Admissions count: men,618.0
1098,Sefton,North West,2015,Admissions count: men,957.0
1097,Salford,North West,2015,Admissions count: men,957.0
1096,Rochdale,North West,2015,Admissions count: men,585.0
1095,Oldham Metropolitian,North West,2015,Admissions count: men,596.0
1110,Doncaster,North West,2015,Admissions count: men,371.0
1165,Greenwich,London,2015,Admissions count: men,360.0
1111,East Riding Of Yorkshire,North West,2015,Admissions count: men,466.0
1113,Kirklees,North West,2015,Admissions count: men,716.0
1128,Nottinghamshire,East Midlands,2015,Admissions count: men,1498.0
1127,Nottingham,East Midlands,2015,Admissions count: men,589.0
1126,Northamptonshire,East Midlands,2015,Admissions count: men,1295.0
1125,Lincolnshire,East Midlands,2015,Admissions count: men,1850.0
1124,Leicestershire,East Midlands,2015,Admissions count: men,845.0
1123,Leicester,East Midlands,2015,Admissions count: men,360.0
1122,Derbyshire,East Midlands,2015,Admissions count: men,1209.0
1121,Derby,East Midlands,2015,Admissions count: men,202.0
1120,York,North Yorkshire,2015,Admissions count: men,316.0
1119,Wakefield,North Yorkshire,2015,Admissions count: men,806.0
1118,Sheffield,North Yorkshire,2015,Admissions count: men,727.0
1117,Rotherham,North Yorkshire,2015,Admissions count: men,516.0
1116,North Lincolnshire,North West,2015,Admissions count: men,253.0
1115,North East Lincolnshire,North West,2015,Admissions count: men,490.0
1114,Leeds,North West,2015,Admissions count: men,1160.0
1112,Kingston-Upon-Hull,North West,2015,Admissions count: men,268.0
1087,Cheshire East,North West,2015,Admissions count: men,478.0
1166,Hackney,London,2015,Admissions count: men,490.0
1168,Haringey,London,2015,Admissions count: men,498.0
1220,Torbay,South West,2015,Admissions count: men,657.0
1219,The Of The Isles Of Scilly,South West,2015,Admissions count: men,10.0
1218,Swindon,South West,2015,Admissions count: men,425.0
1217,South Gloucestershire,South West,2015,Admissions count: men,861.0
1216,Somerset,South West,2015,Admissions count: men,1207.0
1215,Plymouth,South West,2015,Admissions count: men,1733.0
1221,Wiltshire,South West,2015,Admissions count: men,1339.0
1214,North Somerset District,South West,2015,Admissions count: men,628.0
1212,Dorset,South West,2015,Admissions count: men,1108.0
1211,Devon,South West,2015,Admissions count: men,1855.0
1210,Cornwall,South West,2015,Admissions count: men,3060.0
1209,Bristol,South West,2015,Admissions count: men,1545.0
1208,Bournemouth,South West,2015,Admissions count: men,562.0
1207,Borough Of Poole,South West,2015,Admissions count: men,411.0
1213,Gloucestershire,South West,2015,Admissions count: men,675.0
1091,Knowsley,North West,2015,Admissions count: men,568.0
1090,Halton,North West,2015,Admissions count: men,437.0
1089,Cumbria,North West,2015,Admissions count: men,864.0
3038,Bournemouth,South West,2015,"Admissions per 100,000 population",851.9972659789225
2901,Darlington,North East,2015,"Admissions per 100,000 population",363.39140005313294
3040,Cornwall,South West,2015,"Admissions per 100,000 population",1775.8475132038595
3041,Devon,South West,2015,"Admissions per 100,000 population",658.3981046155145
3042,Dorset,South West,2015,"Admissions per 100,000 population",756.8613052857908
3043,Gloucestershire,South West,2015,"Admissions per 100,000 population",243.86861145142277
3044,North Somerset District,South West,2015,"Admissions per 100,000 population",822.276663351687
3045,Plymouth,South West,2015,"Admissions per 100,000 population",1931.1276164753547
3046,Somerset,South West,2015,"Admissions per 100,000 population",786.8367453131737
3047,South Gloucestershire,South West,2015,"Admissions per 100,000 population",820.8630767687201
3048,Swindon,South West,2015,"Admissions per 100,000 population",558.3146839097914
3049,The Of The Isles Of Scilly,South West,2015,"Admissions per 100,000 population",1199.4669035984007
3050,Torbay,South West,2015,"Admissions per 100,000 population",1417.3764906303238
3051,Wiltshire,South West,2015,"Admissions per 100,000 population",822.7106502041139
